Datetime (UTC),Timezone (minutes),Unix Timestamp (UTC),Acc magnitude avg,Eda avg,Temp avg,Movement intensity,Steps count,Rest,On Wrist
2020-01-20T23:48:00Z,-360,1.58E+12,0.912031,0.12724,30.651864,0,0,0,TRUE
2020-01-20T23:49:00Z,-360,1.58E+12,0.907116,0.129612,30.661733,0,0,0,TRUE
2020-01-20T23:50:00Z,-360,1.58E+12,1.035092,0.131663,30.648533,0,0,0,TRUE
2020-01-20T23:51:00Z,-360,1.58E+12,0.964234,0.129823,30.539917,0,0,0,TRUE
2020-01-20T23:52:00Z,-360,1.58E+12,0.949239,0.123171,30.4333,0,0,0,TRUE
2020-01-20T23:53:00Z,-360,1.58E+12,0.942692,0.13141,30.355433,0,0,0,TRUE
2020-01-20T23:54:00Z,-360,1.58E+12,0.979265,0.129997,30.310583,0,0,0,TRUE
2020-01-20T23:55:00Z,-360,1.58E+12,0.948582,0.116315,30.316283,0,0,0,TRUE
2020-01-20T23:56:00Z,-360,1.58E+12,0.946408,0.114835,30.350017,0,0,0,TRUE
2020-01-20T23:57:00Z,-360,1.58E+12,0.933986,0.13802,30.372833,0,0,0,TRUE
2020-01-20T23:58:00Z,-360,1.58E+12,0.974856,0.09652,30.261583,0,0,0,TRUE
2020-01-20T23:59:00Z,-360,1.58E+12,0.982476,0.093512,30.169367,0,0,0,TRUE
2020-01-21T00:00:00Z,-360,1.58E+12,0.940071,0.103712,30.214383,0,0,0,TRUE
2020-01-21T00:01:00Z,-360,1.58E+12,0.9381,0.112182,30.22,0,0,0,TRUE
2020-01-21T00:02:00Z,-360,1.58E+12,0.961663,0.11003,30.188233,0,0,0,TRUE
2020-01-21T00:03:00Z,-360,1.58E+12,0.959875,0.10918,30.151733,0,0,0,TRUE
2020-01-21T00:04:00Z,-360,1.58E+12,0.970842,0.108462,30.103183,0,0,0,TRUE
2020-01-21T00:05:00Z,-360,1.58E+12,0.968267,0.106484,30.046633,0,0,0,TRUE
2020-01-21T00:06:00Z,-360,1.58E+12,0.967873,0.1068,30.027983,0,0,0,TRUE
2020-01-21T00:07:00Z,-360,1.58E+12,0.972931,0.105547,30.00565,0,0,0,TRUE
2020-01-21T00:08:00Z,-360,1.58E+12,0.966782,0.099781,29.968333,0,0,0,TRUE
2020-01-21T00:09:00Z,-360,1.58E+12,0.959879,0.094217,29.9019,0,0,0,TRUE
2020-01-21T00:10:00Z,-360,1.58E+12,0.973604,0.093702,29.8943,0,0,0,TRUE
2020-01-21T00:11:00Z,-360,1.58E+12,0.973112,0.095529,29.90685,0,0,0,TRUE
2020-01-21T00:12:00Z,-360,1.58E+12,0.959864,0.091379,29.8545,0,0,0,TRUE
2020-01-21T00:13:00Z,-360,1.58E+12,1.053109,0.146953,29.92215,44,54,0,TRUE
2020-01-21T00:14:00Z,-360,1.58E+12,1.030683,0.126474,30.04525,40,46,0,TRUE
2020-01-21T00:15:00Z,-360,1.58E+12,0.954638,0.125967,30.1032,10,32,0,TRUE
2020-01-21T00:16:00Z,-360,1.58E+12,0.939442,0.138993,30.04525,0,0,0,TRUE
2020-01-21T00:17:00Z,-360,1.58E+12,0.93013,0.127882,30.04705,0,0,0,TRUE
2020-01-21T00:18:00Z,-360,1.58E+12,0.950722,0.126372,30.070167,0,0,0,TRUE
2020-01-21T00:19:00Z,-360,1.58E+12,1.008625,0.141289,30.1371,0,0,0,TRUE
2020-01-21T00:20:00Z,-360,1.58E+12,0.983546,0.132752,30.136783,0,0,0,TRUE
2020-01-21T00:21:00Z,-360,1.58E+12,0.985002,0.135838,30.21275,0,0,0,TRUE
2020-01-21T00:22:00Z,-360,1.58E+12,0.946982,0.122315,30.251417,0,0,0,TRUE
2020-01-21T00:23:00Z,-360,1.58E+12,0.942256,0.131175,30.316833,0,0,0,TRUE
2020-01-21T00:24:00Z,-360,1.58E+12,0.945221,0.134354,30.3546,0,0,0,TRUE
2020-01-21T00:25:00Z,-360,1.58E+12,1.07223,0.141915,30.384933,10,0,0,TRUE
2020-01-21T00:26:00Z,-360,1.58E+12,1.060178,0.146428,30.3884,0,0,0,TRUE
2020-01-21T00:27:00Z,-360,1.58E+12,0.897184,0.141582,30.282333,0,0,0,TRUE
2020-01-21T00:28:00Z,-360,1.58E+12,0.902118,0.140446,30.189883,0,0,0,TRUE
2020-01-21T00:29:00Z,-360,1.58E+12,0.936464,0.128945,30.061267,0,0,0,TRUE
2020-01-21T00:30:00Z,-360,1.58E+12,0.9004,0.117646,29.94625,0,0,0,TRUE
2020-01-21T00:31:00Z,-360,1.58E+12,0.901366,0.118086,29.937,0,0,0,TRUE
2020-01-21T00:32:00Z,-360,1.58E+12,0.973619,0.122747,29.940583,14,42,0,TRUE
2020-01-21T00:33:00Z,-360,1.58E+12,0.989692,0.124299,29.9352,27,50,0,TRUE
2020-01-21T00:34:00Z,-360,1.58E+12,0.92568,0.115109,29.830583,18,0,0,TRUE
2020-01-21T00:35:00Z,-360,1.58E+12,0.956077,0.131253,29.7823,18,36,0,TRUE
2020-01-21T00:36:00Z,-360,1.58E+12,0.91663,0.104143,29.721117,0,0,0,TRUE
2020-01-21T00:37:00Z,-360,1.58E+12,0.908424,0.083972,29.583833,0,0,0,TRUE
2020-01-21T00:38:00Z,-360,1.58E+12,0.92099,0.087414,29.541983,0,0,0,TRUE
2020-01-21T00:39:00Z,-360,1.58E+12,0.912231,0.099335,29.6079,0,0,0,TRUE
2020-01-21T00:40:00Z,-360,1.58E+12,0.90343,0.104223,29.629717,0,0,0,TRUE
2020-01-21T00:41:00Z,-360,1.58E+12,0.918332,0.110327,29.68165,0,0,0,TRUE
2020-01-21T00:42:00Z,-360,1.58E+12,0.947533,0.089009,29.594,0,0,0,TRUE
2020-01-21T00:43:00Z,-360,1.58E+12,0.931318,0.088108,29.572733,0,0,0,TRUE
2020-01-21T00:44:00Z,-360,1.58E+12,0.905703,0.086557,29.661267,0,0,0,TRUE
2020-01-21T00:45:00Z,-360,1.58E+12,0.915862,0.089571,29.783767,0,0,0,TRUE
2020-01-21T00:46:00Z,-360,1.58E+12,0.907093,0.087917,29.8174,0,0,0,TRUE
2020-01-21T00:47:00Z,-360,1.58E+12,0.908921,0.08618,29.82055,0,0,0,TRUE
2020-01-21T00:48:00Z,-360,1.58E+12,0.903328,0.077433,29.844967,0,0,0,TRUE
2020-01-21T00:49:00Z,-360,1.58E+12,0.903645,0.076459,29.9361,0,0,0,TRUE
2020-01-21T00:50:00Z,-360,1.58E+12,0.925454,0.074041,30.017533,0,0,0,TRUE
2020-01-21T00:51:00Z,-360,1.58E+12,0.929988,0.08224,30.13545,0,0,0,TRUE
2020-01-21T00:52:00Z,-360,1.58E+12,0.89996,0.088192,30.202533,0,0,0,TRUE
2020-01-21T00:53:00Z,-360,1.58E+12,0.914176,0.094263,30.2316,0,0,0,TRUE
2020-01-21T00:54:00Z,-360,1.58E+12,1.01474,0.102756,30.2289,17,0,0,TRUE
2020-01-21T00:55:00Z,-360,1.58E+12,0.936744,0.096802,30.20835,13,0,0,TRUE
2020-01-21T00:56:00Z,-360,1.58E+12,1.018171,0.11557,30.140317,0,0,0,TRUE
2020-01-21T00:57:00Z,-360,1.58E+12,0.985026,0.111798,30.0616,0,0,0,TRUE
2020-01-21T00:58:00Z,-360,1.58E+12,0.916809,0.113027,29.992217,14,0,0,TRUE
2020-01-21T00:59:00Z,-360,1.58E+12,0.915701,0.105628,29.945917,0,0,0,TRUE
2020-01-21T01:00:00Z,-360,1.58E+12,0.909351,0.103892,29.9253,0,0,0,TRUE
2020-01-21T01:01:00Z,-360,1.58E+12,0.916556,0.108779,29.9298,0,0,0,TRUE
2020-01-21T01:02:00Z,-360,1.58E+12,0.920924,0.109245,29.9451,0,0,0,TRUE
2020-01-21T01:03:00Z,-360,1.58E+12,0.908612,0.111835,29.94375,0,0,0,TRUE
2020-01-21T01:04:00Z,-360,1.58E+12,0.899482,0.109368,29.934233,0,0,0,TRUE
2020-01-21T01:05:00Z,-360,1.58E+12,0.914897,0.081111,29.845633,0,0,0,TRUE
2020-01-21T01:06:00Z,-360,1.58E+12,0.888036,0.078995,29.8021,0,0,0,TRUE
2020-01-21T01:07:00Z,-360,1.58E+12,0.88429,0.086062,29.787317,0,0,0,TRUE
2020-01-21T01:08:00Z,-360,1.58E+12,0.884857,0.086131,29.7882,0,0,0,TRUE
2020-01-21T01:09:00Z,-360,1.58E+12,0.899835,0.096579,29.8228,0,0,0,TRUE
2020-01-21T01:10:00Z,-360,1.58E+12,0.918396,0.092693,29.82415,0,0,0,TRUE
2020-01-21T01:11:00Z,-360,1.58E+12,0.917332,0.08709,29.783983,10,0,0,TRUE
2020-01-21T01:12:00Z,-360,1.58E+12,0.8967,0.082083,29.645633,0,0,0,TRUE
2020-01-21T01:13:00Z,-360,1.58E+12,0.9034,0.079535,29.604317,0,0,0,TRUE
2020-01-21T01:14:00Z,-360,1.58E+12,0.909321,0.087198,29.69555,0,0,0,TRUE
2020-01-21T01:15:00Z,-360,1.58E+12,0.909175,0.100436,29.70185,0,0,0,TRUE
2020-01-21T01:16:00Z,-360,1.58E+12,0.936547,0.110094,29.7212,0,0,0,TRUE
2020-01-21T01:17:00Z,-360,1.58E+12,0.906298,0.109,29.7475,0,0,0,TRUE
